rectify =herstellen==non=To fix something=you need to recify the car
Colluding =samenspannen===To work togheter=The groups were colluding
core interest =kern belang====
unlike =in tegenstelling====
instigate =aansporen====
infiltration =infiltratie====
empathy =inleveringsvermogen====
despair =wanhoop====
delicate =gevoelig====
superstition =bijgeloof====
keen =scherp====
distorted =vervormd====
contention =strijd====
assess =schatten====
orphan =weeskind====
scenario =scenario====
contingency =onvoorziene=toevalligheid===
privilege =gunst====
recall =herinner====
evaluate =schatten=doornemen===
reevaluate =herschatten====
inconclusive =niet defenetief====
proposition=voorstel ==proposal==
stance =ouding====he altered his stance, resting all her weight on one leg
